codigo_iso3,codigo_m49,pais,area_codigo,tipo_incidencia,indicador,detalle,estado
WLF,876,Wallis and Futuna,APC,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
WLF,876,Wallis and Futuna,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
WLF,876,Wallis and Futuna,APC,SIN_DATO,HUM_EV,Entidad sin esperanza de vida 2023/2022.,REVISAR
WSM,882,Samoa,APC,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
YEM,887,Yemen,MDE,SIN_DATO,HUM_GINI,Entidad sin Gini 2015-2024 utilizable.,REVISAR
XKX,,Kosovo,EUR,SIN_DATO,HUM_IDH,Entidad sin IDH utilizable en la serie oficial PNUD (2023/2022).,REVISAR
,,,AFR,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2015-2024 en la misma area.,REVISAR
,,,APC,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2017-2024 en la misma area.,REVISAR
,,,EUR,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2017-2023 en la misma area.,REVISAR
,,,MDE,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2017-2023 en la misma area.,REVISAR
,,,NAC,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2015-2024 en la misma area.,REVISAR
,,,RUE,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2020-2024 en la misma area.,REVISAR
,,,SAI,GINI_DISPERSION_TEMPORAL,HUM_GINI,Rango anual Gini 2019-2024 en la misma area.,REVISAR
,,,,NOTA_FUENTE_GINI,HUM_GINI,La API WDI usada no explicita por observacion si la medicion es por ingreso o consumo; documentar limitacion metodologica.,REVISAR
