codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
PSE,275,Palestina,MDE,Oriente Medio,PAIS_SOBERANO,SI,6025.0,2023.0,5589632.0,8451896.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
DEU,276,Germany,EUR,Europa,PAIS_SOBERANO,SI,349430.0,2023.0,84075075.0,78294606.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GHA,288,Ghana,AFR,África,PAIS_SOBERANO,SI,227533.0,2023.0,35064277.0,50553046.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GIB,292,Gibraltar,EUR,Europa,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,10.0,2023.0,40152.0,49819.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
KIR,296,Kiribati,APC,Asia-Pacífico,PAIS_SOBERANO,SI,810.0,2023.0,136505.0,182635.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GRC,300,Greece,EUR,Europa,PAIS_SOBERANO,SI,128900.0,2023.0,9938847.0,8812069.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GRL,304,Greenland,NAC,Norteamérica y Caribe,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,410450.0,2023.0,55767.0,49919.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GRD,308,Grenada,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,340.0,2023.0,117315.0,113255.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GLP,312,Guadeloupe,NAC,Norteamérica y Caribe,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,1620.0,2023.0,373796.0,326331.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
GUM,316,Guam,APC,Asia-Pacífico,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,540.0,2023.0,169014.0,191464.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
