codigo_iso3,codigo_m49,pais,area_codigo,idh,anio_idh,gini,anio_gini,esperanza_vida,anio_esperanza_vida,fuente_idh,fuente_gini,fuente_esperanza_vida,estado_revision,observaciones
IDN,360,Indonesia,APC,0.728,2023.0,34.9,2024.0,71.146,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
IRN,364,Irán,MDE,0.799,2023.0,35.9,2023.0,77.654,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
IRQ,368,Iraq,MDE,0.695,2023.0,29.8,2023.0,72.324,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
IRL,372,Ireland,EUR,0.949,2023.0,29.0,2023.0,82.8073170731707,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ISR,376,Israel,MDE,0.919,2023.0,38.3,2022.0,83.1951219512195,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ITA,380,Italy,EUR,0.915,2023.0,34.3,2023.0,83.3512195121951,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CIV,384,Côte d'Ivoire,AFR,0.582,2023.0,35.3,2021.0,61.944,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
JAM,388,Jamaica,NAC,0.72,2023.0,39.9,2021.0,71.479,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
JPN,392,Japan,APC,0.925,2023.0,32.3,2020.0,84.0412195121951,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
KAZ,398,Kazakhstan,RUE,0.837,2023.0,29.2,2021.0,74.402,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
JOR,400,Jordan,MDE,0.754,2023.0,,,77.814,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
KEN,404,Kenya,AFR,0.628,2023.0,38.5,2022.0,63.646,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
PRK,408,Corea del Norte,APC,,,,,73.642,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
