codigo_iso3,codigo_m49,pais,area_codigo,anio,co2_t,co2_per_capita_t,poblacion_2025,fuente,estado_revision,observaciones
KAZ,398,Kazakhstan,RUE,2024.0,287005950.0,13.769395614744711,20843758.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
JOR,400,Jordan,MDE,2024.0,23219138.0,2.015429982604336,11520687.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
KEN,404,Kenya,AFR,2024.0,21225434.0,0.36892951497615495,57532491.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PRK,408,Corea del Norte,APC,2024.0,62550270.0,2.3540765787778826,26571043.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
KOR,410,Corea del Sur,APC,2024.0,583679170.0,11.29693565732967,51667035.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
KWT,414,Kuwait,MDE,2024.0,129518650.0,25.769322368390945,5026079.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
KGZ,417,Kyrgyzstan,RUE,2024.0,11770158.0,1.613447334125927,7295037.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LAO,418,Lao People's Democratic Republic,APC,2024.0,24399926.0,3.0991715025743525,7873048.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LBN,422,Lebanon,MDE,2024.0,15649973.0,2.6754729483574704,5849423.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LSO,426,Lesotho,AFR,2024.0,2571767.0,1.0881963162148325,2363330.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LVA,428,Latvia,EUR,2024.0,6461889.0,3.4862043850752067,1853560.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LBR,430,Liberia,AFR,2024.0,859369.0,0.14994557864435512,5731206.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LBY,434,Libya,AFR,2024.0,65260070.0,8.749694645905896,7458554.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LIE,438,Liechtenstein,EUR,2024.0,131624.0,3.2779797778552573,40154.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LTU,440,Lithuania,EUR,2024.0,12541509.0,4.431393742381146,2830150.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
LUX,442,Luxembourg,EUR,2024.0,7039783.0,10.345714772784053,680454.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MAC,446,Macao,CHN,2024.0,1056328.0,1.4630216975200063,722018.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
