codigo_iso3,codigo_m49,pais,area_codigo,anio,tec_net_pct,poblacion_2025,usuarios_estimados_2025,fuente_codigo,fuente,estado_revision,observaciones
FRO,234,Faroe Islands,EUR,2017.0,97.5819589384468,56023.0,54668.340856086055,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
FLK,238,Falkland Islands (Malvinas),SAM,,,3493.0,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
FJI,242,Fiji,APC,2024.0,74.7052002,933159.0,697118.2991343179,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
FIN,246,Finland,EUR,2024.0,93.72405196,5623328.0,5270410.856601229,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
ALA,248,Åland Islands,EUR,,,,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
FRA,250,France,EUR,2024.0,88.65381638,66650804.0,59088481.393953696,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GUF,254,French Guiana,SAM,,,313665.0,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
PYF,258,French Polynesia,APC,2017.0,72.7038953132942,282468.0,205365.23901355587,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
DJI,262,Djibouti,AFR,2024.0,65.29889679,1184082.0,773192.4830889679,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GAB,266,Gabon,AFR,2024.0,68.72090149,2593131.0,1782023.000016652,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GEO,268,Georgia,RUE,2024.0,83.79855689,3806669.0,3189933.687578994,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GMB,270,Gambia,AFR,2024.0,49.49430084,2822094.0,1396775.6943475895,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
PSE,275,Palestina,MDE,2023.0,86.63765334,5589632.0,4842725.995141709,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
DEU,276,Germany,EUR,2024.0,93.49999579,84075075.0,78610191.58543934,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GHA,288,Ghana,AFR,2024.0,72.17569733,35064277.0,25307886.438472804,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GIB,292,Gibraltar,EUR,2016.0,94.4444715818151,40152.0,37921.3442295304,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
KIR,296,Kiribati,APC,2024.0,89.44029999,136505.0,122090.48150134951,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GRC,300,Greece,EUR,2024.0,86.26968886,9938847.0,8574212.383171445,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GRL,304,Greenland,NAC,2017.0,69.4824617821988,55767.0,38748.2844620788,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
GRD,308,Grenada,NAC,2024.0,70.16159821,117315.0,82310.07894006149,ITU_WB_NET,"UIT, World Telecommunication/ICT Indicators Database, distribuido por Banco Mundial",OK,Ultimo dato oficial disponible; se conserva el ano real.
GLP,312,Guadeloupe,NAC,,,373796.0,,,,AUSENTE_DOCUMENTADO,Sin dato UIT/Banco Mundial; no imputar ni convertir en cero. Entidad SEGUN_FUENTE; tratamiento territorial conservado.
