codigo_iso3,codigo_m49,pais,area_codigo,gasto_militar_usd,gasto_militar_pct_pib,anio_gasto,fuente_gasto,estado_revision,observaciones
GIB,292,Gibraltar,EUR,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
KIR,296,Kiribati,APC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
GRC,300,Greece,EUR,8388421361.369943,0.029888142525625296,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
GRL,304,Greenland,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
GRD,308,Grenada,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
GLP,312,Guadeloupe,NAC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
GUM,316,Guam,APC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
GTM,320,Guatemala,NAC,632872273.9811586,0.005231496438573953,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
GIN,324,Guinea,AFR,600539642.4306408,0.02027963292300796,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
GUY,328,Guyana,SAM,247643803.40654925,0.009913924529825313,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
HTI,332,Haiti,NAC,39144696.97650407,0.0012116192286238739,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
VAT,336,Holy See (Vatican City State),EUR,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Sin dato SIPRI usable para 2025/2024 en esta entidad.
HND,340,Honduras,NAC,580246011.6353736,0.014634721943738289,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
HKG,344,Hong Kong,CHN,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE,Entidad SEGUN_FUENTE; no imputar cero si SIPRI no publica valor separado. Sin dato SIPRI usable para 2025/2024 en esta entidad.
HUN,348,Hungary,EUR,5001983632.200585,0.02036801022463418,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
ISL,352,Iceland,EUR,0.0,0.0,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
IND,356,India,SAI,92057013588.1601,0.022951791793515173,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
IDN,360,Indonesia,APC,15025416115.28609,0.010446886384200042,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
IRN,364,Irán,MDE,7396057109.81132,0.020915792291092736,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
IRQ,368,Iraq,MDE,6447958100.793245,0.024473493526667365,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
IRL,372,Ireland,EUR,1551113417.4130812,0.0021912979177091934,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
ISR,376,Israel,MDE,48281256782.26126,0.07809064087959404,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
ITA,380,Italy,EUR,48143627462.04002,0.018887272002891593,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
CIV,384,Côte d'Ivoire,AFR,759441425.3284721,0.007748750663545787,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
JAM,388,Jamaica,NAC,286646045.6699049,0.013682967070821951,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
JPN,392,Japan,APC,62158093812.44194,0.014116699864430388,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
KAZ,398,Kazakhstan,RUE,1308552096.598493,0.004303384155314186,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
JOR,400,Jordan,MDE,2555352112.6760564,0.045568102032700626,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
KEN,404,Kenya,AFR,1469684195.8712654,0.010677992140784137,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
PRK,408,Corea del Norte,APC,,,,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",AUSENTE_DOCUMENTADO,SIPRI no dispone de gasto militar reciente comparable para Corea del Norte; último dato histórico no utilizado por falta de comparabilidad temporal.
KOR,410,Corea del Sur,APC,47770908937.46307,0.02601468951273027,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
KWT,414,Kuwait,MDE,8088284947.007522,0.04687972209290038,2025.0,"SIPRI Military Expenditure Database, edición abril 2026 (v1.2), año 2025",OK_2025,
