codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
BES,535,"Bonaire, Sint Eustatius and Saba",NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
NCL,540,New Caledonia,APC,8548919387.12607,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VUT,548,Vanuatu,APC,1297956614.77783,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NZL,554,New Zealand,APC,261497198363.906,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NIC,558,Nicaragua,NAC,19696311850.3289,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NER,562,Niger,AFR,19729786046.7618,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NGA,566,Nigeria,AFR,252261880140.271,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
NIU,570,Niue,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
NFK,574,Norfolk Island,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
NOR,578,Norway,EUR,500886328034.123,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MNP,580,Northern Mariana Islands,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
FSM,583,"Micronesia, Federated States of",APC,481121300.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MHL,584,Marshall Islands,APC,285000000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PLW,585,Palau,APC,321501812.5,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PAK,586,Pakistan,SAI,371747087751.306,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PAN,591,Panama,NAC,86523959100.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PNG,598,Papua New Guinea,APC,30803971189.4102,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PRY,600,Paraguay,SAM,44738819362.3269,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PER,604,Peru,SAM,291751523018.903,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PHL,608,Philippines,APC,461671157904.74,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PCN,612,Pitcairn,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
POL,616,Poland,EUR,917767106146.761,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PRT,620,Portugal,EUR,313656884870.859,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GNB,624,Guinea-Bissau,AFR,2197777209.94218,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
TLS,626,Timor Oriental,APC,1865608515.41321,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PRI,630,Puerto Rico,NAC,126029527033.705,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
QAT,634,Qatar,MDE,216294505494.505,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
REU,638,Réunion,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
ROU,642,Romania,EUR,382564217988.866,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
RUS,643,Rusia,RUE,2186462268813.08,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
RWA,646,Rwanda,AFR,15111064181.9687,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BLM,652,Saint Barthélemy,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
KNA,659,Saint Kitts and Nevis,NAC,1122388888.88889,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
AIA,660,Anguilla,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
LCA,662,Saint Lucia,NAC,2605148148.14815,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MAF,663,Saint Martin (French part),NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
SPM,666,Saint Pierre and Miquelon,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
VCT,670,Saint Vincent and the Grenadines,NAC,1157207407.40741,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SMR,674,San Marino,EUR,2027243193.5116,2023.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,Fallback a 2023 por ausencia de 2024.
STP,678,Sao Tome and Principe,AFR,824992558.045383,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SAU,682,Saudi Arabia,MDE,1254140800000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SEN,686,Senegal,AFR,32169996051.8502,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SRB,688,Serbia,EUR,90088366320.4062,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SYC,690,Seychelles,AFR,2228608684.29911,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SLE,694,Sierra Leone,AFR,6971127234.07241,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SGP,702,Singapore,APC,572877260178.427,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
