codigo_indicador,codigo_pais,codigo_area,incluido,motivo
POB_URB,TZA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BFA,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ZMB,AFR,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,ASM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,AUS,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,SLB,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,BRN,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MMR,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KHM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,TWN,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CXR,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,CCK,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,COK,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,FJI,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PYF,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KIR,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,GUM,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,IDN,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,JPN,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,PRK,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,KOR,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,LAO,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MYS,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MNG,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NRU,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NCL,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,VUT,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NZL,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NIU,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,NFK,APC,NO,No existe serie nacional de poblacion urbana incorporada
POB_URB,MNP,APC,NO,No existe serie nacional de poblacion urbana incorporada
